levels,tid,phoneticword,pid,code,word,translation,definition,refn,code_status,ontology_branches
L1,1,vyAdhi-viniScayaH,0,AYU,व्याधि-विनिश्चयः,diagnostic conditions , ,,Active,
L2,2,vikAraH,1,DIS,विकारः,disease/disorder , ,,Active,
L3,3,doShavaiShamyam,2,A,दोषवैषम्यम्,derangement of दोष , ,,Active,
L4,4,vAtavyAdhiH,3,AA,वातव्याधिः,disorders due to वात , ,,Active,
L5,5,doShAvasthA (vAta),4,AAA,दोषावस्था (वात),morbid state of दोष , ,,Active,
L6,6,vAtasa~jcayaH,5,AAA-1,वातसञ्चयः,accumulation of वात ,"the disorder is characterized by स्तब्धकोष्ठता [impariment of movements of वात in the कोष्ठ/stagnated bowel movements/paralytic ileus], पूर्णकोष्ठता [fullness of abdomen] ",Su.Su.21/18,Active,
L6,7,vAtavRuddhiH,5,AAA-2,वातवृद्धिः,aggravation of वात ,"the disorder is characterized by वाक्पारुष्यम् [roughness of voice/hoarseness of voice], कार्श्यः [emaciation], कार्ष्ण्यः [blackish discoloration of body], गात्रस्फुरणम् [flickering/twitching in various parts of body], उष्णकामिता/उष्णकामत्वम् [desire for heat/warmth], निद्रानाशः/निद्राभ्रंशः [insomnia], अल्पबलत्वम् [insufficient /decreased physical strength], गाढवर्चस्त्वम् [thick/compact stool], कम्पः/गात्रकम्पः [trembling/tremors of body parts], आनाहः [barborygmus with distention], शकृद्ग्रहः [obstruction/retension of faeces], बलभ्रंशः/बलोपघातः [diminution of physical strength], इन्द्रियभ्रंशः/इन्द्रियोपघातः [impairment of sense organs], प्रलापः [excess talking/irrelevant speech/incoherent speech], भ्रमः [giddiness or dizziness], दीनता/दैन्यम् [timid or apathy], अस्थिशूलः [pain in the bones], मज्जाशोषः [decrease in or dryness of मज्ज (bone marrow)], मलसङ्गः [obstruction to passage of feces], आध्मानम् [abdominal distension], आटोपः [gurgling sound of the intestines/barborygmus], संज्ञानाशः [loss of conciousness], मोहः [confusion/delirium], भयः [fear], शोकः [grief] ",Su.Su.15/13; Ah.Su.11/6,Active,
L6,8,vAtaprakopaH,5,AAA-2.1,वातप्रकोपः,vitiation of वात ,"the disorder is characterized by स्रंसः [exhaustion/fatigue], भ्रंशः [dislocation/prolapse], व्यासः [expansion/dilatation], सङ्गः [obstruction/adherence], भेदः [breaking type of pain], सादः [exhaustion or tirednes of body], हर्षः [horripilation/bristling], तर्षः [dryness of mouth/thirst], कम्पः [tremors/trembling/shaking], वर्तः [movement of वात in opposite direction/circular movement of वात], चालः [pulsation (chakrapani)], तोदः [pricking pain], व्यथा [uneasiness/agitation/feeling of discomfort], चेष्टा [abnormal movements], खरत्वम् [roughness], परुषत्वम् [roughness in body], विशदत्वम् [conspicuousness /clear/perceivable], सुषिरत्वम् [porousness/hollowness], अरुणवर्णता [slight reddish complexion of the body], कषायमुखत्वम् [astringent taste in mouth], विरसमुखत्वम् [tastelessness/upleasant taste in mouth], शोषः [dryness/wasting/emaciation], शूलः [sharp type of pain], सुप्तिः [numbness/drowsiness], संकोचनम् [contraction of body parts], स्तम्भनम् [stiffness /rigidity], खंजता [limping] ",Su.Su.21/20; Ca.Su.20/12; As.Su.19/3,Active,
L7,9,prANavAtakopaH,8,AAA-2.2,प्राणवातकोपः,vitiated प्राणवायु ,"the disorder is characterized by हिक्का [hiccup], श्वास [breathlessness/difficult breathing], चक्षुरादीनामुपघात [impairment of sense organs viz. eye], पीनस [cold, catarrh], अर्दित [facial paralysis], तृट् [thirst], कासः [cough] ",Su.Ni.1/14; As.Ni.16/21; Ah.Ni.16/20,Active,
L7,10,udAnavAtakopaH,8,AAA-2.3,उदानवातकोपः,vitiated उदानवायु ,"the disorder is characterized by कण्ठरोध [choking of throat/stopping or lowering voice], मनोभ्रंश [mental disturbance], छर्दिः [vomiting], अरोचकः [tastelessness], पीनस [cold, catarrh], गलगण्डः [glandular swelling in jaw, neck and throat region /goitre], जत्रूर्ध्वरोग [diseases of body above collar bone/diseases of head and neck] ",As.Ni.16/23; Ah.Ni.16/22,Active,
L7,11,vyAnavAtakopaH,8,AAA-2.4,व्यानवातकोपः,vitiated व्यानवायु ,"the disorder is characterized by पुंस्त्वभ्रंश [decrease in virility/semen], उत्साहभ्रंश [decrease/lack of enthusiasm/energy], बलभ्रंशः [diminution of physical strength], शोफ [oedema], चित्तोत्प्लव [excitement], ज्वरः [fever], सर्वाङ्गरोग [quadriplegia], निस्तोद [pricking type of pain], रोमहर्ष [horripilation], अङ्गसुप्तता [numbness of body parts], कुष्ठः [skin disease], विसर्प [spreading cellulitis/erysipelas], सर्वाङ्गग रोग [diseases affecting whole body] ",As.Su.20/2; As.Ni.16/25; Ah.Ni.16/24,Active,
L7,12,samAnavAtakopaH,8,AAA-2.5,समानवातकोपः,vitiated समानवायु ,"the disorder is characterized by गुल्मः [palpable glandular enlargment in abdomen/abdominal lump], अग्निसादः [diminution of अग्नि (digestive power)], अतिसार [diarrhoea], शूल [colicky pain in the abdomen], ग्रहणी [derangement of agni situated in ग्रहणी], पक्वाशयजरोग [diseases of/having origin in पक्वाशय], आमाशयजरोगः [diseases of/having origin in आमाशय] ",Su.Ni.1/17; As.Ni.16/27; Ah.Ni.16/26,Active,
L7,13,apAnavAtakopaH,8,AAA-2.6,अपानवातकोपः,vitiated अपानवायु ,"the disorder is characterized by पक्वाशयाश्रयरोगः [diseases of पक्वाशय], मूत्रप्रदोषः [disorders of मूत्र/urinary system], शुक्रप्रदोषः [disorders of semen], अर्शः [haemorrhoids], गुदभ्रंशः [rectal prolapse] ",As. Ni.16/29; Ah.Ni.16/28,Active,
L6,14,vAtaprasaraNam,5,AAA-3,वातप्रसरणम्,spreading of वातदोष ,"the disorder is characterized by वायोर्विमार्गगमनम् [abnormal movements of वायु], आटोपः [gurgling sound of the intestines/barborygmus] ",Su.Su.21/32,Active,
L6,15,vAtakShayaH,5,AAA-4,वातक्षयः,depletion of वातदोष ,"the disorder is characterized by मन्दचेष्टता [sluggishness in body activities], अल्पवाक्त्वम्/अल्पभाषणम् [reduced talking], अप्रहर्षः [displeasure/discontent], मूढसंज्ञता [loss of consciousness], अङ्गसादः [exhaustion or tirednes to body /inability to perform physical activities], अल्पेहितम्/अल्पचेष्टता [reduced activities], संज्ञामोहः [loss of investigating intelligence/loss of conciousness], श्लोष्मवृद्धिजन्यामयाः [diseases due to increased कफ], प्रसेकः [excessive salivation], अरुचिः [tastelessness], हॄल्लासः [nausea /palpitation of heart], अग्निवैषम्यः [impairment of अग्नि (digestive power)] ",Su.Su.15/7; As.Su.19/5; Ah.Su.11/15,Active,
L5,16,nAnAtmajavAtavikAraH,4,AAB,नानात्मजवातविकारः,diseases due only to vitiated वात , ,,Active,
L6,17,atipralApaH (kEvalavAta),16,AAB-1,अतिप्रलापः (केवलवात),delirium in excess (due only to वातदोष) ,"the disorder is characterized by असम्बद्धवाचनम् [incoherent speech], निरर्थकवाचनम् [meaningless/nonsensical speech] ",Ca.Su.20/11; Sha.Pu.7/112,Active,
L6,18,anavasthitacittatvam (kEvalavAta),16,AAB-2,अनवस्थितचित्तत्वम् (केवलवात),unstable state of mind (due only to वातदोष) , ,Sha. Pu.7/113,Active,
L6,19,a~ggamardaH (kEvalavAta),16,AAB-3,अङ्गमर्दः (केवलवात),generalized body ache (due only to वातदोष) , ,Bp. Ma.23/218,Active,
L6,20,a~ggaSuShkatA (kEvalavAta),16,AAB-4,अङ्गशुष्कता (केवलवात),wasting of body part(s) (due only to वातदोष) , ,Bp. Ma.23/218,Active,
L6,21,a~ggaviBraMSaH (kEvalavAta),16,AAB-5,अङ्गविभ्रंशः (केवलवात),dislocation/laxity of body part(s) (due only to वातदोष) , ,Bp. Ma.23/218,Active,
L6,22,arditaH (kEvalavAta),16,AAB-6,अर्दितः (केवलवात),facial paralysis (due only to वातदोष) , ,Ca.Su.20/11; Su.Ni.1/68-72; Ma.Ni.22/45-47; Sha.Pu.7/106; Bp.Ma.23/60-63,Active,
L6,23,arasaj~jatA (kEvalavAta),16,AAB-7,अरसज्ञता (केवलवात),ageusia (due only to वातदोष) , ,Ca.Su.20/11; Bp.Ma.23/53,Active,
L6,24,aSabdaSravaNam (kEvalavAta),16,AAB-8,अशब्दश्रवणम् (केवलवात),tinnitus (due only to वातदोष) , ,Ca.Su.20/11; Sha.Pu.7/115,Active,
L6,25,asvapnaH (kEvalavAta),16,AAB-9,अस्वप्नः (केवलवात),insomnia (due only to वातदोष) , ,Ca.Su.20/11; Sha.Pu.7/112,Active,
L6,26,akShiBedaH (kEvalavAta),16,AAB-10,अक्षिभेदः (केवलवात),tearing pain of eye (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,27,akShivyudAsaH (kEvalavAta),16,AAB-11,अक्षिव्युदासः (केवलवात),ptosis of eye ball (due only to वातदोष) , ,Ca.Su.20/11; Ma.Ni.22/8; Sha.Pu.7/115,Active,
L6,28,akShiSUlaH (kEvalavAta),16,AAB-12,अक्षिशूलः (केवलवात),piercing type of eye pain (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,29,ATopaH (kEvalavAta),16,AAB-13,आटोपः (केवलवात),borborygmus (due only to वातदोष) , ,Ca.Ci.28/28; Ma.Ni.22/68; Bp.Ma.23/216,Active,
L6,30,AkShepakaH (kEvalavAta),16,AAB-14,आक्षेपकः (केवलवात),clonic convulsion (due only to वातदोष) , ,Ca.Ci.28/50; Su.Ni.1/50-58; Ah.Ni.15/17; Ma.Ni.22/27-28;Ma.Ni.22/37; Sha.Pu.7/105; Bp.Ma.23/167,Active,
L6,31,uccaiHSrutiH (kEvalavAta),16,AAB-15,उच्चैःश्रुतिः (केवलवात),hypacousia (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,32,udarAveShTaH (kEvalavAta),16,AAB-16,उदरावेष्टः (केवलवात),feeling of abdomen as if enveloped by a cloth (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,33,udAvartaH (kEvalavAta),16,AAB-17,उदावर्तः (केवलवात),obstipation (due only to वातदोष) , ,Ca.Su.20/11; Ca.Ci.26/6-10; Su.U.55/1; Ah.Su.4; Ma.Ni.27/1; Bp.Ma.30,Active,
L6,34,UrustamBaH/ADhyavAtaH (kEvalavAta),16,AAB-18,ऊरुस्तम्भः/आढ्यवातः (केवलवात),stiff thigh (due only to वातदोष) , ,Ca.Su.20/11;Ca.Ci.27/17-19; As. Ni.15/53; Ah.Ni.15/51; Ma.Ni.24/1-10; Sha.Pu.7/105,Active,
L6,35,UrusAdaH (kEvalavAta),16,AAB-19,ऊरुसादः (केवलवात),thigh fatigue (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,36,ekA~ggarogaH (kEvalavAta),16,AAB-20,एकाङ्गरोगः (केवलवात),monoplegia (due only to वातदोष) , ,Ca.Su.20/11; Ca.Ci.28/53-55; Ah.Ni.15/37-40; Ma.Ni.22/41,Active,
L6,37,oShThaBedaH (kEvalavAta),16,AAB-21,ओष्ठभेदः (केवलवात),cleft lip (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,38,kaNThodhvaMsaH (kEvalavAta),16,AAB-22,कण्ठोध्वंसः (केवलवात),hoarseness of voice (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,39,karNaSUlaH (kEvalavAta),16,AAB-23,कर्णशूलः (केवलवात),earache/otalgia (due only to वातदोष) , ,Ca.Su.20/11; Su.Ni.1/84,Active,
L6,40,kampaH/vepathuH (kEvalavAta),16,AAB-24,कम्पः/वेपथुः (केवलवात),tremor (due only to वातदोष) , ,Ca.Su.20/11;Ca.Su.24/15; Ah.Su.11/6; Ma.Ni.22/74; Sha.Pu.7/112; Bp.Ma.23/217,Active,
L6,41,kaShAyAsyatA (kEvalavAta),16,AAB-25,कषायास्यता (केवलवात),feeling of astringent taste (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,42,klamaH (kEvalavAta),16,AAB-26,क्लमः (केवलवात),fatigue without physical exertion/sense-fatigue (due only to वातदोष) , ,Ca.Su.24/14; Bp.Ma.18/21,Active,
