levels,tid,pid,wordcode,code,word,translation,definition,refn
L1,1,0,சித்தா,SID,Siddha,Siddha,,
L2,2,1,நோய்,DIS,Disorder,Disorder,,
L3,3,2,வளர்சிதை மாற்ற நோய்கள்,A,Vaḷarcitai Māṟṟa Nōykaḷ,metabolic disorders,,
L4,4,3,கல்லீரல் நோய்,AA,Kallīral Nōy,Hepatic disease,,
L5,5,4,வளி,AAA,Vaḷi,hepatic disease classified under vali Humour,,
L6,6,5,வளி கல்லீரல் நோய்,AAA1.1,Vaḷi Kallīral Nōy,"hepatomegaly due to vali ,if chronic leads to anaemia",,"K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No: 338-339"
L5,7,4,அழல்,AAB,Aẕal,hepatic disease classified under azhal Humour,,
L6,8,7,அழல் கல்லீரல் நோய்,AAB1.1,Aẕal Kallīral Nōy,"hepatomegaly due to azhal ,if chronic leads to ascites",,"K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No: 339"
L5,9,4,ஐயம்,AAC,Aiyam,hepatic disease classified under iyya Humour,,
L6,10,9,ஐய கல்லீரல் நோய்,AAC1,Aiya Kallīral Nōy,"hepatomegaly due to iyam, and nodular liver on palpation",,"K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No: 339"
L4,11,3,மஞ்சள்,AB,Mañcaḷ Nōy,Jaundice,,
L5,12,11,வளி,ABA,Vaḷi,Jaundice classified under vali Humour,,
L6,13,12,வளி மஞ்சள் நோய்,ABA1.1,Vaḷi Mañcaḷ Nōy,jaundice caused by increased by vali,"This is characterised by dyspepsia, peripheral oedema, emaciation of the body, diminished vision and edema of the eyes, malaise, loss of appetite and insomnia.This can be explained by deranged vali influencing azhal affects vyanan. Among the seven udal thathukkal,saram to kozhuppu is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976 (2nd ed.), Chennai: Dept of Indian Medicine and Homeopathy, Page No: 367"
L6,14,12,கும்ப மஞ்சள் நோய்,ABA1.2,Kumpa Mañcaḷ Nōy,jaundice with dysentery,"This is characterised by heaviness of the body, fatigue, yellowish discoloration of urine, evening sweating, redness of the eyes, Excess sleep even in standing, dysentery.This can be explained by derangement of azhal which influences vali and affects vyanan,koorman. Among the seven udal thathukkal,saram to Oon are affected.","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai: Dept of Indian Medicine and Homeopathy, Page No:371-372"
L5,15,11,அழல்,ABB,Aẕal,Jaundice classified under azhal Humour,,
L6,16,15,அழல் மஞ்சள் நோய்,ABB1.1,Aẕal Mañcaḷ Nōy,jaundice caused by increased azhal,"This is characterised by dryness of the skin,insomnia,dyspepsia,generalised bodyache, diarrhoea,borborygmus,weakness of extremities.This can be explained by deranged azhal which influences Iyam and affects abanan ,vyanan.Among the seven udal thathukkal,saram to Oon is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai: Dept of Indian Medicine and Homeopathy, Page No: 367"
L6,17,15,அழல் ஐய மஞ்சள் நோய்,ABB1.2,Aẕal Aiya Mañcaḷ Nōy,jaundice caused by increased azhal iyam,"This is characterised by yellowish discoloration of the body,vomiting.Followed by headache,dysentery like milk,dyspepsia,anasarca,pallor of extremities.This can be explained by deranged azhal and Iyam affects vyanan.Among the seven udal thathukkal,saram to senneer is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai: Dept of Indian Medicine and Homeopathy, Page No:369"
L6,18,15,ஊதுமஞ்சள் நோய்,ABB1.3,Ūtu Mañcaḷ Nōy,jaundice with anasarca,"This is characterised by mucus secretion in eyes,unctuous sweating and anasarca,numbness . This can be explained by derangement of azhal influencing Iyam affects vyanan. Among the seven udal thathukkal saram to seneer is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976,(2nd ed.), Chennai: Dept of Indian Medicine and Homeopathy, Page No: 365-366"
L6,19,15,வறட்டு மஞ்சள் நோய்,ABB1.4,Vaṟaṭṭu Mañcaḷ Nōy,jaundice with gait distutbances and night blindness,"This is characterised by shortening of both UL and LL. Difficulty in walking.Passing bluish discoloration of faeces. Dysuria,burning micturition,tasteless,dimness of vision in the evening, blackish discoloration of the body.This can be explained by deranged vali influences azhal affects vyanan,abanan. Among the seven udal thathukkal saram to Oon is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai: Dept of Indian Medicine and Homeopathy, Page No: 366"
L6,20,15,பெரு மஞ்சள் நோய்,ABB1.5,Peru Mañcaḷ Nōy,jaundice with male sterility,"This is characterised by yellowish discoloration of urine,anasarca,yellowish discoloration of face,hands,feet and uvula.weight loss inspite of food intake. Depression,dyspnoeic, loss of desire and constipation. It can be explained by deranged azhal influencing vali,affects vyanan,abanan,pranan. Among the seven udal thathukkal saram to sukkilam is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976,(2nd ed.), Chennai: Dept of Indian Medicine and Homeopathy, Page No: 370"
L6,21,15,அழகு மஞ்சள் நோய்,ABB1.6,Aẕaku Mañcaḷ Nōy,jaundice with urethritis,"This is characterised by eye,eyebrows,with greenish hue as Bonduc nut.Yellowish discoloration of micturition,Dysuria and dyspepsia.Increased sensation of heat in the body.It can be explained by deranged azhal influences Iyam affectsvyanan,abanan. Among the seven udal thathukkal saram to seneer is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai: Dept of Indian Medicine and Homeopathy, Page No: 370-371"
L6,22,15,செங்கமல மஞ்சள் நோய்,ABB1.7,Ceṅkamala Mañcaḷ Nōy,jaundice with cardiac dysfunction,"This is characterised by cardiac dysfunction,malaise.Urine is decreased and concentrated.Pallor of nails,emaciation followed by fever,uvula,tongue,saliva becomes yellowish hue.This can be explained by derangement of azhal influences Iyam affects udanan,vyanan.Among the seven udal thathukkal,saram to Oon is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976, (2nd ed.), Chennai: Dept of Indian Medicine and Homeopathy, Page No:371"
L5,23,11,ஐயம்,ABC,Aiyam,Jaundice classified under Aiyam Humour,,
L6,24,23,ஐய மஞ்சள் நோய்,ABC1.1,Aiya Mañcaḷ Nōy,jaundice due to iyam,"This is characterised by generalised icterus,continuous cough,sweating in the forehead,difficulty in walking,dyspnoea on exertion,rigor, heaviness of the chest.In this condition,giddiness sets in on intake of betelnut.This can be explained by deranged Iyam influencing azhal and affects vyanan. Among the seven udal thathukkal, saram to Oon is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976,(2nd ed.), Chennai: Dept of Indian Medicine and Homeopathy, Page No: 370"
L6,25,23,குன்ம மஞ்சள் நோய்,ABC1.2,Kuṉma Mañcaḷ Nōy,jaundice with dysentery,"This is characterised by pallor of eyes,greenish hue in the eyes,yellowish discoloration of urine and broth-like consistency.Abdominal pain precedes before vomitting at the time of digestion of food.Anosmia,frequent wheeze,dyspnoea and cough.Sleeps like an Peacock. Inability to move like an deadbody. Rolls in bed due to intolerable abdominal pain.This can be explained by derangement of azhal influences Iyam affects udanan,vyanan,kirukaran.Among the seven udal thathukkal saram to kozhuppu is affe","Yugi munivar Vaidhya Chinthamani (perunool 800) First Part; 1976,(2nd ed.), Chennai: Dept of Indian Medicine and Homeopathy, Page No: 372"
L4,26,3,மண்ணீரல் மஞ்சள் நோய்,AC,Maṇṇīral Nōy,Spleen disease,,
L5,27,26,வளி,ACA,Vaḷi,Spleen disease classified under Vali Humour,,
L6,28,27,வளி மண்ணீரல் நோய்,ACA1.1,Vaḷi Maṇṇīral Nōy,"spleenomegaly due to vali ,if chronic leads to ascites","This is characterized by dislike to eat,altered taste, bitter taste in the tongue,frequent fever,blackish discoloration of face or whole body,enlargement of abdomen,borborygmus,engorged veins over the abdomen with greenish hue,emaciation of extremities. constipation,Oliguria. If it is chronic,anemia sets in followed by anasarca. This can be explained by deranged Vali influencing azhal and affects udanan,vyanan,abanan. Among the seven udal thathukkal,saram to kozhuppu is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No: 335 - 336"
L5,29,26,அழல்,ACB,Aẕal,Spleen disease classified under Azhal Humour,,
L6,30,29,அழல் மண்ணீரல் நோய்,ACB1.1,Aẕal Maṇṇīral Nōy,spleenomegaly due to azhal with massive enlargement,"This is characterized by hypersalivation,bitter taste in the tongue, hatred towards food,vomits after food, bilious vomiting, frequent giddiness, spleenomegaly. Due to the severity,diarrhoea occurs. Body,eyes,tongue,face looks icteric.Sometimes spleenomegaly is so severe that it may reach the lower abdomen. This can be explained by deranged Azhal and affects Vali - udanan,vyanan,abanan. Among the seven udal thathukkal,saram to kozhuppu are affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No: 336"
L5,31,26,ஐயம்,ACC,Aiyam,Spleen disease classified under Aiyam Humour,,
L6,32,31,ஐய மண்ணீரல் நோய்,ACC1.1,Aiya Maṇṇīral Nōy,spleenomegaly due to iyam with intermittent fever,"This is characterized by malaise,pallor of the body peripheral oedema.Engorged veins and varicose veins.If chronic,intermittent fever,bedridden,emaciation ,decreased blood volume and fatal. This can be explained by deranged Iyam influences azhal affects vyanan,abanan. Among the seven udal thathukkal,saram to kozhuppu is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No: 336"
L5,33,26,முக்குற்றம்,ACD,Mukkuṟṟam,Spleen disease classified under Mukkutram Humour,,
L6,34,33,முக்குற்ற மண்ணீரல் நோய்,ACD1.1,Mukkuṟṟa Maṇṇīral Nōy,"spleenomegaly due to mukuttram,may be fatal","This is characterized by signs and symptoms of vali,azhal and Iya manneeral noi. Massive spleenomegaly,health deteriorates leading to fatality. This can be explained by deranged vali,azhal and Iyam .All the seven udal thathukkal are affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No: 336"
L4,35,3,நீர் வேட்கை நோய்,AD,Nīr Vēṭkai Nōy,Thirst disease,,
L5,36,35,வளி,ADA,Vaḷi,Thirst disease classified under Vali humour,,
L6,37,36,வளி நீர் வேட்கை நோய்,ADA1.1,Vaḷi Nīr Vēṭkai Nōy,Severe thirst due to vali,"This is characterised by blackish discoloration of the body,tastelessness, deafness,increased sleepiness,decreased vigour,morbid thirst though drinking enough water.This can be explained by deranged vali influences azhal affects udanan,vyanan.Among the seven udal thathukkal,saram to seneer is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 272"
L5,38,35,அழல் ,ADB,Aẕal,Thirst disease classified under Azhal humour,,
L6,39,38,அழல் நீர் வேட்கை நோய்,ADB1.1,Aẕal Nīr Vēṭkai Nōy,thirst due to azhal,"This is characterised by increased body temperature, dryness of tongue,uvula,palate.throat,tongue with redness and pricking pain,burning sensation of tongue.This can be explained by deranged azhal affects udanan,vyanan. Among the seven udal thathukkal,saram to Oon is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 273"
