levels,tid,pid,code,word,arabic,translation,definition
L1,1,0,UM,,,Unani Medicine,
L2,2,1,UM-DIS,,,Disorders,
L3,3,2,A,Amrāḍ-i-Niẓam-i-A‘ṣāb-o-Dimāgh,امراض نظام اعصاب و دماغ,Diseases of Nervous System,
L4,4,3,A-1,Bayḍa-o-Khūdha,بيضہ و خوذہ,Organic headache/Helmet headache,A severe type of chronic headache which involves the whole head. The patient feels that someone is hammering his head. Most of the physicians think that both these types are same but <em>Dā’ūd Anṭākī</em> differentiates them by the site of pain as <em>Bayḍa</em> is a headache which occurs in the central part of head while <em>Khūdha</em> is a headache which is experienced on the periphery of head.
L4,5,3,A-2,Shaqīqa,شقيقہ,Migraine,A type of severe headache which involves one half of head whether it is right or left. It is an episodic type of pain accompanied with nausea and vomiting.
L5,6,5,A-2.1,Shaqīqa Ḥārra,شقيقہ حارہ,Acute migraine,A type of migraine which is caused due to predominance of <em>Ṣafrā’</em> (yellow bile) and <em>Dam</em> (blood/sanguine) in the body.
L5,7,5,A-2.2,Shaqīqa Bārida,شقيقہ باردہ,Chronic migraine,A type of migraine which is caused due to predominance of <em>Balgham</em> (phlegm) and <em>Sawdā’</em> (black bile) in the body.
L4,8,3,A-3,‘Iṣāba,عصابہ,Frontal headache,It is a type of severe headache which occurs on the forehead above the eyebrow. It can involve either sides or both sides. The intensity of pain gradually reduces with the sunset.
L4,9,3,A-4,Ḥiss-i-Dimāgh,حس دماغ,,A condition in which the sensitivity of the brain is increased.
L4,10,3,A-5,Sarsām,سرسام,Meningitis,The inflammation of meninges of brain or brain itself.
L5,11,10,A-5.1,Sarsām Damawī/ Qarānīṭus,سرسام دموي/ قرانیطس,Acute meningitis,The inflammation of meninges of brain due to predominance of <em>Dam</em> (blood/sanguine).
L5,12,10,A-5.2,Sarsām Ṣafrāwī/ Qarānīṭus Khāliṣ,سرسام صفراوي/قرانیطس خالص,Bilious meningitis,The inflammation of meninges of brain due to predominance of <em>Ṣafrā’</em> (yellow bile).
L5,13,10,A-5.3,Sarsām Sawdāwī,سرسام سوداوي,Melancholic meningitis,The inflammation of meninges of brain due to predominance of <em>Sawdā’</em> (black bile).
L5,14,10,A-5.4,Sarsām Balghamī/ Lītharghus,سرسام بلغمي/ لیثرغس,Phlegmatic meningitis,The inflammation of meninges of brain due to predominance of <em>Balgham</em> (phlegm).
L5,15,10,A-5.5,Sarsām Ḥaqīqī,سرسام حقيقي,,The inflammation of meninges or tissues of brain.
L5,16,10,A-5.6,Sarsām Ghayr Ḥaqīqī,سرسام غير حقيقي,Meningismus,"In this condition, symptom of <em>Sarsām</em> (meningitis) occurs without any inflammatory changes in the brain. This is caused by other reason e.g. accumulation of <em>Bukhārāt</em> (gases) in the brain."
L4,17,3,A-6,Falghamūnī Dimāghī,فلغمونى دماغي,Phlegmon,A type of acute inflammation of brain tissues caused by accumulation of putrified blood in the brain.
L4,18,3,A-7,Shafāqalūs Dimāghī,شفا قلوس دماغي,,A type of inflammation of the vessels of brain caused by the accumulation of <em>Muḥtariq Dam</em> (burnt blood/sanguine) in the vessels.
L4,19,3,A-8,Ḥumra Dimāghiyya,حمرہ دماغيہ,Cerebral congestion,A type of inflammation of brain tissues caused by the accumulation of <em>Muḥtariq Sawdā’</em> (burnt black bile) or sanguine mixed with <em>Ṣafrā’</em> (yellow bile) in the brain.
L4,20,3,A-9,‘Uṭāsh,عطاش,,"Literal meaning of <em> ‘Uṭāsh</em> is excessive thirst. It is a disease which occurs commonly in children. In Unani System of Medicine, it is considered to be a sub acute type of inflammation of brain in which the child experiences an increased thirst."
